"Title","CPI MONTHLY RATE: Services 2015=100"
"2008 OCT","0.3"
"2008 NOV","0.0"
"2008 DEC","0.7"
"2009 JAN","-0.4"
"2009 FEB","0.2"
"2009 MAR","0.1"
"2009 APR","0.6"
"2009 MAY","0.4"
"2009 JUN","0.1"
"2009 JUL","0.7"
"2009 AUG","0.4"
"2009 SEP","-0.6"
"2009 OCT","0.2"
"2009 NOV","0.0"
"2009 DEC","0.9"
"2010 JAN","0.0"
"2010 FEB","0.2"
"2010 MAR","0.3"
"2010 APR","0.7"
"2010 MAY","0.3"
"2010 JUN","0.5"
"2010 JUL","0.5"
"2010 AUG","0.8"
"2010 SEP","-0.9"
"2010 OCT","0.4"
"2010 NOV","-0.2"
"2010 DEC","1.2"
"2011 JAN","0.2"
"2011 FEB","0.4"
"2011 MAR","0.2"
"2011 APR","1.4"
"2011 MAY","-0.1"
"2011 JUN","0.3"
"2011 JUL","0.7"
"2011 AUG","0.5"
"2011 SEP","-0.5"
"2011 OCT","0.1"
"2011 NOV","-0.1"
"2011 DEC","1.1"
"2012 JAN","-0.4"
"2012 FEB","0.2"
"2012 MAR","0.2"
"2012 APR","1.0"
"2012 MAY","0.2"
"2012 JUN","0.3"
"2012 JUL","0.8"
"2012 AUG","0.4"
"2012 SEP","-0.5"
"2012 OCT","0.9"
"2012 NOV","0.0"
"2012 DEC","0.5"
"2013 JAN","-0.2"
"2013 FEB","0.3"
"2013 MAR","0.2"
"2013 APR","0.5"
"2013 MAY","0.4"
"2013 JUN","0.1"
"2013 JUL","0.6"
"2013 AUG","0.3"
"2013 SEP","-0.2"
"2013 OCT","0.2"
"2013 NOV","-0.1"
"2013 DEC","0.4"
"2014 JAN","-0.3"
"2014 FEB","0.2"
"2014 MAR","0.2"
"2014 APR","1.0"
"2014 MAY","-0.1"
"2014 JUN","0.4"
"2014 JUL","0.6"
"2014 AUG","0.4"
"2014 SEP","-0.5"
"2014 OCT","0.3"
"2014 NOV","-0.2"
"2014 DEC","0.3"
"2015 JAN","-0.3"
"2015 FEB","0.3"
"2015 MAR","0.1"
"2015 APR","0.6"
"2015 MAY","0.2"
"2015 JUN","0.3"
"2015 JUL","0.7"
"2015 AUG","0.3"
"2015 SEP","-0.3"
"2015 OCT","0.1"
"2015 NOV","0.0"
"2015 DEC","0.7"
"2016 JAN","-0.8"
"2016 FEB","0.4"
"2016 MAR","0.6"
"2016 APR","0.2"
"2016 MAY","0.4"
"2016 JUN","0.4"
"2016 JUL","0.6"
"2016 AUG","0.4"
"2016 SEP","-0.5"
"2016 OCT","-0.1"
"2016 NOV","-0.2"
"2016 DEC","1.0"
"2017 JAN","-0.7"
"2017 FEB","0.6"
"2017 MAR","0.0"
"2017 APR","1.1"
"2017 MAY","0.1"
"2017 JUN","0.3"
"2017 JUL","0.5"
"2017 AUG","0.5"
"2017 SEP","-0.5"
"2017 OCT","-0.2"
"2017 NOV","0.0"
"2017 DEC","0.7"
"2018 JAN","-0.4"
"2018 FEB","0.2"
"2018 MAR","0.1"
"2018 APR","0.7"
"2018 MAY","0.4"
"2018 JUN","0.3"
"2018 JUL","0.5"
"2018 AUG","0.7"
"2018 SEP","-0.6"
"2018 OCT","-0.1"
"2018 NOV","0.0"
"2018 DEC","0.6"
"2019 JAN","-0.4"
"2019 FEB","0.2"
"2019 MAR","0.1"
"2019 APR","1.1"
"2019 MAY","0.0"
"2019 JUN","0.3"
"2019 JUL","0.5"
"2019 AUG","0.5"
"2019 SEP","-0.3"
"2019 OCT","0.0"
"2019 NOV","-0.1"
"2019 DEC","0.2"
"2020 JAN","-0.2"
"2020 FEB","0.4"
"2020 MAR","0.1"
"2020 APR","0.6"
"2020 MAY","0.0"
"2020 JUN","0.1"
"2020 JUL","0.8"
"2020 AUG","-1.0"
"2020 SEP","0.5"
"2020 OCT","-0.1"
"2020 NOV","0.0"
"2020 DEC","0.3"
"2021 JAN","0.0"
"2021 FEB","0.2"
"2021 MAR","0.1"
"2021 APR","0.6"
"2021 MAY","0.3"
"2021 JUN","0.3"
"2021 JUL","0.3"
"2021 AUG","0.4"
"2021 SEP","0.0"
"2021 OCT","0.6"
"2021 NOV","0.1"
"2021 DEC","0.4"
"2022 JAN","-0.1"
"2022 FEB","0.4"
"2022 MAR","0.7"
"2022 APR","1.3"
"2022 MAY","0.4"
"2022 JUN","0.7"
"2022 JUL","0.8"
"2022 AUG","0.6"
"2022 SEP","0.2"
"2022 OCT","0.7"
"2022 NOV","0.2"
"2022 DEC","0.8"
"2023 JAN","-0.9"
"2023 FEB","1.0"
"2023 MAR","0.7"
"2023 APR","1.6"
"2023 MAY","0.8"
"2023 JUN","0.5"
"2023 JUL","1.0"
"2023 AUG","0.0"
"2023 SEP","0.3"
"2023 OCT","0.4"
